Source,Target,Type,Id,Weight
6763,93,Undirected,49433,0.060798
6755,93,Undirected,49126,0.060798
6221,93,Undirected,42719,0.534939
6216,93,Undirected,42489,1.62177
6201,93,Undirected,42284,0.190909
5507,93,Undirected,35556,0.047619
5502,93,Undirected,35315,0.084656
5501,93,Undirected,35260,0.047619
5499,93,Undirected,35157,1.24584
4718,93,Undirected,28328,0.090909
4631,93,Undirected,27528,3.85554
3175,93,Undirected,16826,0.095281
3169,93,Undirected,16721,0.060798
3166,93,Undirected,16675,0.060798
3162,93,Undirected,16612,0.060798
1605,93,Undirected,7062,0.87037
1604,93,Undirected,7038,1.70949
747,93,Undirected,2398,1.48129
5784,210,Undirected,38142,0.037465
5782,210,Undirected,38033,0.037465
5777,210,Undirected,37794,0.037465
2908,210,Undirected,14982,0.019608
2191,210,Undirected,10418,1.28739
1796,210,Undirected,8064,0.080943
1231,210,Undirected,5009,0.04
1150,210,Undirected,4500,0.29
435,210,Undirected,943,0.037465
222,210,Undirected,452,2.26115
217,210,Undirected,381,2.3167
7132,217,Undirected,54221,0.022727
6868,217,Undirected,51372,0.022727
6763,217,Undirected,49428,0.214286
6216,217,Undirected,42548,0.022727
6201,217,Undirected,42323,0.022727
6200,217,Undirected,42227,0.022727
6199,217,Undirected,42116,0.022727
6198,217,Undirected,42029,0.022727
6197,217,Undirected,41915,0.022727
5784,217,Undirected,38162,0.062465
5782,217,Undirected,38051,0.062465
5777,217,Undirected,37807,0.062465
5507,217,Undirected,35542,0.022727
5502,217,Undirected,35345,0.022727
4829,217,Undirected,29258,0.022727
2908,217,Undirected,14989,0.042335
2191,217,Undirected,10423,1.28739
1796,217,Undirected,8069,0.080943
1263,217,Undirected,5143,0.022727
1231,217,Undirected,4984,0.062727
912,217,Undirected,3092,0.022727
722,217,Undirected,2255,0.041667
581,217,Undirected,1466,0.022727
435,217,Undirected,947,0.085192
230,217,Undirected,480,0.022727
222,217,Undirected,459,2.30281
5784,222,Undirected,38173,0.037465
5782,222,Undirected,38062,0.037465
5777,222,Undirected,37818,0.037465
3678,222,Undirected,20660,0.855878
2908,222,Undirected,14999,0.019608
2191,222,Undirected,10428,1.38739
1796,222,Undirected,8076,0.080943
1231,222,Undirected,5016,0.04
722,222,Undirected,2256,0.041667
468,222,Undirected,1040,0.345671
435,222,Undirected,952,0.037465
7132,230,Undirected,54218,0.049043
6868,230,Undirected,51365,0.049043
6216,230,Undirected,42547,0.049043
6201,230,Undirected,42311,0.139952
6200,230,Undirected,42213,0.159091
6199,230,Undirected,42101,0.139952
6198,230,Undirected,42028,0.049043
6197,230,Undirected,41897,0.264952
5507,230,Undirected,35525,0.174043
5502,230,Undirected,35331,0.310407
5373,230,Undirected,34297,0.390332
5026,230,Undirected,30900,0.125
5023,230,Undirected,30821,0.076923
4829,230,Undirected,29257,0.049043
4718,230,Undirected,28339,0.125
2908,230,Undirected,15016,0.022727
1908,230,Undirected,8727,0.666667
1633,230,Undirected,7248,1.05833
1353,230,Undirected,5693,0.553239
1263,230,Undirected,5142,0.049043
1231,230,Undirected,4983,0.125966
912,230,Undirected,3091,0.125966
581,230,Undirected,1465,0.022727
435,230,Undirected,956,0.022727
231,230,Undirected,481,0.5
7132,231,Undirected,54239,0.203409
6216,231,Undirected,42506,0.571435
6201,231,Undirected,42292,0.621435
6200,231,Undirected,42205,0.394526
6199,231,Undirected,42092,0.644526
6198,231,Undirected,42005,0.276879
6197,231,Undirected,41888,0.787383
5507,231,Undirected,35514,0.394526
5502,231,Undirected,35309,0.914025
5501,231,Undirected,35243,0.539123
5373,231,Undirected,34290,0.173203
5026,231,Undirected,30890,0.34259
4718,231,Undirected,28332,0.1
1605,231,Undirected,7069,0.114379
1353,231,Undirected,5712,0.167647
1231,231,Undirected,4979,0.174621
912,231,Undirected,3087,0.174621
497,231,Undirected,1216,0.233445
5507,334,Undirected,35496,0.280054
5502,334,Undirected,35290,0.198247
5501,334,Undirected,35263,0.058824
5026,334,Undirected,30929,0.047619
4718,334,Undirected,28318,0.250534
1908,334,Undirected,8741,0.440476
1633,334,Undirected,7266,0.142857
1605,334,Undirected,7067,0.222756
1604,334,Undirected,7052,0.183366
722,334,Undirected,2246,0.25
485,334,Undirected,1138,0.342857
468,334,Undirected,1041,0.509524
7132,395,Undirected,54225,0.232955
6868,395,Undirected,51416,0.090909
6216,395,Undirected,42593,0.045455
6201,395,Undirected,42252,0.312121
6200,395,Undirected,42176,0.270455
6199,395,Undirected,42062,0.606566
6198,395,Undirected,41969,0.145455
6197,395,Undirected,41860,0.512356
5507,395,Undirected,35493,0.378788
5502,395,Undirected,35283,0.50303
5501,395,Undirected,35232,0.145455
2750,395,Undirected,13703,0.047619
2338,395,Undirected,11385,0.047619
2164,395,Undirected,10211,4.41199
1475,395,Undirected,6254,0.949874
7132,435,Undirected,54215,0.022727
6868,435,Undirected,51364,0.061189
6216,435,Undirected,42544,0.061189
6201,435,Undirected,42320,0.061189
6200,435,Undirected,42224,0.022727
6199,435,Undirected,42113,0.022727
6198,435,Undirected,42027,0.022727
6197,435,Undirected,41912,0.022727
5784,435,Undirected,38161,0.13123
5782,435,Undirected,38050,0.092768
5777,435,Undirected,37806,0.13123
5507,435,Undirected,35539,0.022727
5502,435,Undirected,35342,0.061189
4829,435,Undirected,29254,0.061189
2908,435,Undirected,14988,1.17802
2191,435,Undirected,10440,0.037465
1796,435,Undirected,8068,0.037465
1263,435,Undirected,5141,0.022727
1231,435,Undirected,4982,0.061189
912,435,Undirected,3090,0.061189
581,435,Undirected,1464,0.061189
4829,468,Undirected,29232,0.11475
3678,468,Undirected,20659,0.784715
2338,468,Undirected,11355,0.156252
1908,468,Undirected,8724,0.333766
1150,468,Undirected,4486,0.045455
722,468,Undirected,2238,0.542649
497,468,Undirected,1221,0.069295
6201,484,Undirected,42340,0.1
2883,484,Undirected,14819,0.043478
2338,484,Undirected,11372,0.120401
1796,484,Undirected,8096,0.05
1150,484,Undirected,4503,0.15
722,484,Undirected,2235,0.967857
581,484,Undirected,1463,0.043478
534,484,Undirected,1341,0.2
485,484,Undirected,1135,0.483333
2338,485,Undirected,11374,0.027778
1796,485,Undirected,8080,0.4616
1633,485,Undirected,7238,0.54478
1150,485,Undirected,4497,0.4616
7132,497,Undirected,54264,0.0625
6868,497,Undirected,51404,0.0625
6216,497,Undirected,42502,0.300111
6201,497,Undirected,42289,0.233445
6200,497,Undirected,42202,0.058824
6199,497,Undirected,42089,0.058824
6197,497,Undirected,41885,0.058824
5507,497,Undirected,35511,0.058824
5502,497,Undirected,35306,0.233445
5373,497,Undirected,34287,0.058824
4829,497,Undirected,29269,0.069295
2338,497,Undirected,11380,0.069295
1353,497,Undirected,5710,0.058824
1263,497,Undirected,5149,0.0625
1231,497,Undirected,4977,0.303788
912,497,Undirected,3085,0.303788
722,497,Undirected,2249,0.069295
6755,534,Undirected,49110,0.025641
3175,534,Undirected,16819,0.025641
3169,534,Undirected,16715,0.025641
3166,534,Undirected,16669,0.025641
3162,534,Undirected,16606,0.025641
2883,534,Undirected,14824,0.043478
1796,534,Undirected,8084,0.282075
1150,534,Undirected,4499,0.39222
581,534,Undirected,1467,0.02439
7132,581,Undirected,54207,0.022727
6868,581,Undirected,51360,0.061189
6216,581,Undirected,42537,0.061189
6201,581,Undirected,42315,0.061189
6200,581,Undirected,42219,0.022727
6199,581,Undirected,42108,0.022727
6198,581,Undirected,42023,0.022727
6197,581,Undirected,41907,0.022727
5507,581,Undirected,35535,0.022727
5502,581,Undirected,35338,0.061189
4829,581,Undirected,29249,0.061189
2908,581,Undirected,15009,0.123689
2883,581,Undirected,14814,0.298278
2750,581,Undirected,13714,0.037037
2338,581,Undirected,11366,0.537702
1263,581,Undirected,5140,0.022727
1231,581,Undirected,4981,0.061189
912,581,Undirected,3089,0.061189
4829,722,Undirected,29224,0.11475
2338,722,Undirected,11354,0.156252
1908,722,Undirected,8721,0.1
1150,722,Undirected,4491,0.045455
6763,747,Undirected,49437,0.060798
6755,747,Undirected,49130,0.060798
6221,747,Undirected,42697,0.497356
6216,747,Undirected,42471,1.93736
6201,747,Undirected,42286,0.390909
6198,747,Undirected,42009,0.125
5502,747,Undirected,35323,0.162037
5501,747,Undirected,35265,0.125
5499,747,Undirected,35159,2.06668
4718,747,Undirected,28330,0.090909
4631,747,Undirected,27531,2.08022
3175,747,Undirected,16827,0.095281
3169,747,Undirected,16722,0.060798
3166,747,Undirected,16676,0.060798
3162,747,Undirected,16613,0.060798
1605,747,Undirected,7076,0.037037
1604,747,Undirected,7047,0.170966
1599,747,Undirected,7024,0.055556
7132,912,Undirected,54203,0.266305
6868,912,Undirected,51338,1.406
6216,912,Undirected,42523,0.594665
6201,912,Undirected,42305,0.416888
6200,912,Undirected,42215,0.094156
6199,912,Undirected,42104,0.049043
6198,912,Undirected,41986,0.208613
6197,912,Undirected,41903,0.049043
5507,912,Undirected,35531,0.120472
5502,912,Undirected,35325,0.416888
5373,912,Undirected,34307,0.025641
5023,912,Undirected,30806,1.60681
4829,912,Undirected,29246,0.087505
2908,912,Undirected,15011,0.061189
1353,912,Undirected,5701,2.78078
1263,912,Undirected,5136,0.875571
1231,912,Undirected,4970,5.60176
6201,1150,Undirected,42339,0.1
2883,1150,Undirected,14821,0.043478
1796,1150,Undirected,8079,0.943675
7132,1231,Undirected,54202,0.266305
6868,1231,Undirected,51337,1.406
6216,1231,Undirected,42522,0.594665
6201,1231,Undirected,42307,0.416888
6200,1231,Undirected,42214,0.094156
6199,1231,Undirected,42103,0.049043
6198,1231,Undirected,41984,0.208613
6197,1231,Undirected,41902,0.049043
5507,1231,Undirected,35530,0.120472
5502,1231,Undirected,35327,0.416888
5373,1231,Undirected,34306,0.025641
5026,1231,Undirected,30919,0.111111
5023,1231,Undirected,30818,0.653114
4829,1231,Undirected,29245,0.087505
2908,1231,Undirected,15010,0.061189
2191,1231,Undirected,10454,0.04
1353,1231,Undirected,5707,1.54165
1263,1231,Undirected,5135,0.875571
7132,1263,Undirected,54216,0.182972
6868,1263,Undirected,51351,1.67389
6216,1263,Undirected,42545,0.120472
6201,1263,Undirected,42321,0.120472
6200,1263,Undirected,42225,0.094156
6199,1263,Undirected,42114,0.049043
6198,1263,Undirected,42014,0.137184
6197,1263,Undirected,41913,0.049043
5507,1263,Undirected,35540,0.120472
5502,1263,Undirected,35343,0.120472
5373,1263,Undirected,34304,0.025641
4829,1263,Undirected,29255,0.049043
2908,1263,Undirected,15014,0.022727
1353,1263,Undirected,5722,0.051957
7132,1353,Undirected,54256,0.026316
6868,1353,Undirected,51340,0.234496
6216,1353,Undirected,42513,0.143963
6201,1353,Undirected,42294,0.193963
6200,1353,Undirected,42207,0.341889
6199,1353,Undirected,42068,0.659114
6198,1353,Undirected,41985,0.445247
6197,1353,Undirected,41864,0.659114
5507,1353,Undirected,35515,0.374915
5502,1353,Undirected,35284,0.756733
5501,1353,Undirected,35233,0.231818
5373,1353,Undirected,34291,0.143288
5026,1353,Undirected,30891,0.05
5023,1353,Undirected,30808,2.58934
4829,1353,Undirected,29216,0.126316
4718,1353,Undirected,28333,0.05
7132,1475,Undirected,54226,0.0625
6868,1475,Undirected,51419,0.090909
6201,1475,Undirected,42334,0.166667
6199,1475,Undirected,42119,0.197619
6197,1475,Undirected,41918,0.303409
5507,1475,Undirected,35544,0.280952
5502,1475,Undirected,35351,0.205195
4829,1475,Undirected,29239,0.309524
2750,1475,Undirected,13704,0.172619
2338,1475,Undirected,11386,0.047619
2164,1475,Undirected,10219,0.997493
6763,1599,Undirected,49421,0.1
6216,1599,Undirected,42482,0.055556
5782,1599,Undirected,38069,0.018868
5777,1599,Undirected,37825,0.018868
4631,1599,Undirected,27538,0.055556
1908,1599,Undirected,8746,0.208333
1633,1599,Undirected,7272,0.083333
6221,1604,Undirected,42735,0.218585
6216,1604,Undirected,42490,0.237632
5507,1604,Undirected,35517,0.337395
5502,1604,Undirected,35311,0.345403
5501,1604,Undirected,35258,0.106443
5499,1604,Undirected,35195,0.071429
5026,1604,Undirected,30892,0.130952
4718,1604,Undirected,28334,1.64253
4631,1604,Undirected,27554,0.761875
2338,1604,Undirected,11383,0.142857
1908,1604,Undirected,8756,0.047619
1605,1604,Undirected,7061,1.63033
6221,1605,Undirected,42705,0.604894
6216,1605,Undirected,42528,0.092593
6201,1605,Undirected,42262,0.273333
6200,1605,Undirected,42185,0.154379
6199,1605,Undirected,42073,0.154379
6198,1605,Undirected,41979,0.154379
6197,1605,Undirected,41869,0.154379
5507,1605,Undirected,35479,0.571641
5502,1605,Undirected,35275,0.325345
5501,1605,Undirected,35225,0.579286
5499,1605,Undirected,35152,0.38254
5373,1605,Undirected,34298,0.055556
5026,1605,Undirected,30883,0.692157
4718,1605,Undirected,28315,1.87033
4631,1605,Undirected,27556,0.037037
1633,1605,Undirected,7251,0.45
6197,1633,Undirected,41899,0.125
5507,1633,Undirected,35527,0.125
5502,1633,Undirected,35333,0.125
5026,1633,Undirected,30902,0.125
4718,1633,Undirected,28341,0.125
1908,1633,Undirected,8734,0.592857
5784,1796,Undirected,38170,0.037465
5782,1796,Undirected,38059,0.037465
5777,1796,Undirected,37815,0.037465
2908,1796,Undirected,14996,0.067227
2883,1796,Undirected,14828,0.35
2191,1796,Undirected,10443,0.080943
5507,1908,Undirected,35582,0.047619
5026,1908,Undirected,30923,0.047619
7132,2164,Undirected,54224,0.232955
6868,2164,Undirected,51420,0.090909
6216,2164,Undirected,42592,0.045455
6201,2164,Undirected,42251,0.312121
6200,2164,Undirected,42175,0.270455
6199,2164,Undirected,42061,0.654185
6198,2164,Undirected,41968,0.145455
6197,2164,Undirected,41859,0.559975
5507,2164,Undirected,35492,0.426407
5502,2164,Undirected,35282,0.550649
5501,2164,Undirected,35231,0.145455
2750,2164,Undirected,13706,0.047619
2338,2164,Undirected,11388,0.047619
5784,2191,Undirected,38159,0.037465
5782,2191,Undirected,38049,0.037465
5777,2191,Undirected,37805,0.037465
2908,2191,Undirected,14987,0.019608
6199,2338,Undirected,42156,0.047619
4829,2338,Undirected,29267,0.069295
2883,2338,Undirected,14812,0.235778
2750,2338,Undirected,13707,0.084656
6199,2750,Undirected,42160,0.047619
2883,2750,Undirected,14806,0.07152
2908,2883,Undirected,15007,0.0625
7132,2908,Undirected,54213,0.022727
6868,2908,Undirected,51362,0.061189
6216,2908,Undirected,42542,0.061189
6201,2908,Undirected,42318,0.061189
6200,2908,Undirected,42222,0.022727
6199,2908,Undirected,42111,0.022727
6198,2908,Undirected,42025,0.022727
6197,2908,Undirected,41910,0.022727
5784,2908,Undirected,38178,0.019608
5782,2908,Undirected,38067,0.019608
5777,2908,Undirected,37823,0.019608
5507,2908,Undirected,35537,0.022727
5502,2908,Undirected,35340,0.061189
4829,2908,Undirected,29252,0.061189
6763,3162,Undirected,49394,0.886445
6755,3162,Undirected,49094,0.823624
6221,3162,Undirected,42751,0.060798
6216,3162,Undirected,42565,0.060798
5499,3162,Undirected,35176,0.060798
4631,3162,Undirected,27562,0.060798
3175,3162,Undirected,16804,0.964717
3169,3162,Undirected,16706,1.08972
3166,3162,Undirected,16663,0.964717
6763,3166,Undirected,49398,0.886445
6755,3166,Undirected,49097,0.823624
6221,3166,Undirected,42753,0.060798
6216,3166,Undirected,42567,0.060798
5499,3166,Undirected,35178,0.060798
4631,3166,Undirected,27564,0.060798
3175,3166,Undirected,16808,0.964717
3169,3166,Undirected,16710,0.964717
6763,3169,Undirected,49401,0.886445
6755,3169,Undirected,49098,0.823624
6221,3169,Undirected,42754,0.060798
6216,3169,Undirected,42568,0.060798
5499,3169,Undirected,35179,0.060798
4631,3169,Undirected,27565,0.060798
3175,3169,Undirected,16811,0.964717
6763,3175,Undirected,49410,0.886445
6755,3175,Undirected,49102,1.82362
6221,3175,Undirected,42756,0.095281
6216,3175,Undirected,42570,0.095281
5499,3175,Undirected,35181,0.095281
4631,3175,Undirected,27567,0.095281
4829,3678,Undirected,29277,0.2
6763,4631,Undirected,49429,0.060798
6755,4631,Undirected,49122,0.060798
6221,4631,Undirected,42696,1.91158
6216,4631,Undirected,42472,2.40403
6201,4631,Undirected,42285,0.190909
6199,4631,Undirected,42172,0.076923
5507,4631,Undirected,35558,0.680891
5502,4631,Undirected,35317,0.037037
5499,4631,Undirected,35158,1.50001
4718,4631,Undirected,28329,0.378943
7132,4718,Undirected,54245,0.124074
6221,4718,Undirected,42706,0.659463
6216,4718,Undirected,42498,0.214983
6201,4718,Undirected,42261,0.376412
6200,4718,Undirected,42184,0.214074
6199,4718,Undirected,42072,0.290997
6198,4718,Undirected,41978,0.214074
6197,4718,Undirected,41868,0.339074
5507,4718,Undirected,35483,1.98573
5502,4718,Undirected,35279,0.544431
5501,4718,Undirected,35228,0.285503
5499,4718,Undirected,35153,0.162338
5026,4718,Undirected,30884,1.0881
7132,4829,Undirected,54206,0.049043
6868,4829,Undirected,51359,0.087505
6216,4829,Undirected,42536,0.087505
6201,4829,Undirected,42314,0.087505
6200,4829,Undirected,42218,0.022727
6199,4829,Undirected,42107,0.049043
6198,4829,Undirected,42022,0.049043
6197,4829,Undirected,41906,0.049043
5507,4829,Undirected,35534,0.049043
5502,4829,Undirected,35337,0.087505
6200,5023,Undirected,42237,0.090909
6199,5023,Undirected,42069,0.181818
6198,5023,Undirected,42048,0.238528
6197,5023,Undirected,41865,0.181818
5507,5023,Undirected,35570,0.147619
5502,5023,Undirected,35285,0.329437
5501,5023,Undirected,35234,0.181818
7132,5026,Undirected,54236,0.30202
6221,5026,Undirected,42707,0.571429
6216,5026,Undirected,42562,0.066667
6201,5026,Undirected,42267,0.876838
6200,5026,Undirected,42208,0.228122
6199,5026,Undirected,42094,0.576473
6198,5026,Undirected,41974,1.12647
6197,5026,Undirected,41890,0.501473
5507,5026,Undirected,35499,1.41219
5502,5026,Undirected,35293,2.09278
5501,5026,Undirected,35237,3.2451
5373,5026,Undirected,34296,0.052632
7132,5373,Undirected,54199,0.157576
6868,5373,Undirected,51390,0.025641
6216,5373,Undirected,42512,0.173203
6201,5373,Undirected,42272,0.511356
6200,5373,Undirected,42190,0.490144
6199,5373,Undirected,42077,0.654213
6198,5373,Undirected,42001,0.170865
6197,5373,Undirected,41873,0.654213
5507,5373,Undirected,35507,0.262871
5502,5373,Undirected,35296,0.699668
5501,5373,Undirected,35239,0.143541
6763,5499,Undirected,49431,0.060798
6755,5499,Undirected,49124,0.060798
6221,5499,Undirected,42750,0.198894
6216,5499,Undirected,42501,1.30001
6201,5499,Undirected,42288,0.190909
6198,5499,Undirected,42008,0.125
5507,5499,Undirected,35480,0.071429
5502,5499,Undirected,35276,0.196429
5501,5499,Undirected,35226,0.196429
7132,5501,Undirected,54196,0.715867
6221,5501,Undirected,42745,0.315476
6216,5501,Undirected,42532,0.357029
6201,5501,Undirected,42258,1.79259
6200,5501,Undirected,42182,1.49985
6199,5501,Undirected,42067,1.453
6198,5501,Undirected,41973,0.896179
6197,5501,Undirected,41863,1.253
5784,5501,Undirected,38184,0.032258
5507,5501,Undirected,35482,1.12203
5502,5501,Undirected,35278,3.6111
7132,5502,Undirected,54195,1.06326
6868,5502,Undirected,51367,0.242267
6221,5502,Undirected,42727,0.156085
6216,5502,Undirected,42505,1.34997
6201,5502,Undirected,42254,2.93761
6200,5502,Undirected,42178,2.22635
6199,5502,Undirected,42064,3.29693
6198,5502,Undirected,41971,1.47118
6197,5502,Undirected,41861,3.18977
5784,5502,Undirected,38183,0.032258
5507,5502,Undirected,35484,2.34265
7132,5507,Undirected,54220,0.429423
6868,5507,Undirected,51371,0.120472
6221,5507,Undirected,42724,1.09994
6216,5507,Undirected,42511,0.780404
6201,5507,Undirected,42257,1.28791
6200,5507,Undirected,42181,1.38595
6199,5507,Undirected,42066,1.5757
6198,5507,Undirected,41972,1.29694
6197,5507,Undirected,41862,1.7007
5784,5507,Undirected,38182,0.032258
5784,5777,Undirected,38149,0.13123
5782,5777,Undirected,38040,0.111636
5784,5782,Undirected,38158,0.761791
6200,5784,Undirected,42191,0.032258
6199,5784,Undirected,42078,0.032258
6198,5784,Undirected,41982,0.032258
6197,5784,Undirected,41874,0.032258
7132,6197,Undirected,54193,0.578071
6868,6197,Undirected,51370,0.049043
6216,6197,Undirected,42507,0.708975
6201,6197,Undirected,42253,1.65187
6200,6197,Undirected,42177,1.90114
6199,6197,Undirected,42063,3.46043
6198,6197,Undirected,41970,1.32356
7132,6198,Undirected,54208,0.357995
6868,6198,Undirected,51343,0.208613
6216,6198,Undirected,42538,0.480217
6201,6198,Undirected,42255,0.832963
6200,6198,Undirected,42179,1.14889
6199,6198,Undirected,42065,1.24664
7132,6199,Undirected,54194,0.438647
6868,6199,Undirected,51369,0.049043
6221,6199,Undirected,42763,0.076923
6216,6199,Undirected,42508,0.632052
6201,6199,Undirected,42256,2.05187
6200,6199,Undirected,42180,2.02421
7132,6200,Undirected,54197,0.619017
6868,6200,Undirected,51368,0.094156
6216,6200,Undirected,42510,0.879088
6201,6200,Undirected,42259,2.34818
7132,6201,Undirected,54198,0.79543
6868,6201,Undirected,51366,0.242267
6221,6201,Undirected,42728,0.071429
6216,6201,Undirected,42500,1.62692
7132,6216,Undirected,54219,0.512757
6868,6216,Undirected,51350,0.353378
6763,6216,Undirected,49435,0.060798
6755,6216,Undirected,49128,0.060798
6221,6216,Undirected,42698,0.497356
6763,6221,Undirected,49434,0.060798
6755,6221,Undirected,49127,0.060798
6763,6755,Undirected,49395,0.797983
7132,6868,Undirected,54201,0.266305